,ax,ay,az,gx,gy,gz
0,0.007793,0.3756,0.782875,-57.739258,-50.78125,47.119141
1,0.094952,0.211049,0.672279,-57.373047,-60.72998,35.15625
2,0.134991,0.245717,0.563148,-77.270508,-76.843262,36.499023
3,0.032452,0.284779,0.660072,-53.710938,-51.147461,34.729004
4,0.107159,0.175404,0.509681,-58.59375,-60.241699,56.274414
5,0.058819,0.189321,0.619789,-13.61084,-14.282227,51.940918
6,0.137676,0.086049,0.441322,-25.146484,-37.719727,46.691895
7,0.134258,0.085072,0.425697,-4.02832,-7.995605,37.04834
8,0.101055,0.123158,0.428138,-11.169434,-26.550293,31.555176
9,0.080547,0.044301,0.455482,-3.662109,-17.76123,24.108887
10,0.013653,0.116078,0.392738,6.286621,-12.878418,12.329102
11,0.034405,0.089467,0.489906,20.690918,8.850098,1.586914
12,0.020977,0.09435,0.384681,4.211426,6.286621,-7.751465
13,0.034893,0.086781,0.459388,3.601074,7.080078,5.065918
14,0.012188,0.13976,0.494056,3.356934,10.253906,11.047363
15,0.044414,0.085561,0.494545,9.765625,-15.930176,22.155762
16,0.078838,0.116078,0.420082,4.943848,-18.798828,8.544922
17,-0.004658,0.112172,0.392494,-9.82666,-4.699707,21.850586
18,0.03001,0.093373,0.422767,-1.525879,-12.084961,17.700195
19,0.005108,0.118276,0.433754,-1.098633,0.854492,8.361816
20,0.010723,0.104115,0.442787,1.77002,0.183105,3.051758
21,-0.021992,0.130238,0.439613,0.854492,0.793457,1.831055
22,-0.017841,0.106557,0.443519,-2.380371,-7.751465,6.408691
23,-0.042255,0.113881,0.436683,-0.549316,-4.211426,3.295898
24,-0.03957,0.099965,0.429359,-1.098633,1.647949,2.563477
25,-0.005879,0.097035,0.419349,1.037598,2.01416,-0.305176
26,-0.027851,0.108754,0.427406,1.281738,2.685547,-0.305176
27,-0.016132,0.105336,0.439857,0.488281,5.310059,1.525879
28,-0.021504,0.099721,0.447914,1.220703,1.220703,1.098633
29,-0.023457,0.117299,0.420814,0.12207,-2.075195,1.281738
30,-0.022724,0.11266,0.420814,0.366211,-1.89209,2.01416
31,-0.02248,0.114613,0.420326,0.854492,0.427246,2.01416
32,-0.021015,0.10436,0.421302,2.502441,2.258301,2.563477
33,-0.009052,0.097035,0.420082,2.441406,2.807617,-0.12207
34,-0.013691,0.116322,0.42765,3.173828,0.976562,2.258301
35,-0.028095,0.097768,0.450843,0.610352,0.061035,0.427246
36,0.004864,0.124867,0.374427,6.164551,6.286621,-0.305176
37,-0.013203,0.10436,0.415687,2.13623,2.441406,2.624512
38,-0.049336,0.098744,0.436439,1.342773,-0.366211,1.464844
39,-0.038349,0.104115,0.426918,1.220703,0.12207,0.732422
40,-0.025654,0.11559,0.436439,0.12207,3.234863,1.525879
41,-0.025898,0.118764,0.436683,0.732422,-0.061035,-0.427246
42,-0.02956,0.111928,0.427894,0.915527,1.281738,-0.671387
43,-0.016865,0.114613,0.419105,1.525879,2.502441,0.671387
44,-0.0425,0.121205,0.423744,0.0,0.183105,-0.915527
45,-0.016865,0.101918,0.433509,0.671387,-2.685547,0.305176
46,-0.034199,0.096547,0.41642,0.915527,-0.183105,-1.220703
