,ax,ay,az,gx,gy,gz
0,-0.037617,0.170522,0.589515,2.624512,-0.610352,-1.586914
1,-0.024189,0.217397,0.607582,3.479004,2.319336,-1.098633
2,-0.049824,0.215688,0.568275,3.78418,3.540039,-1.220703
3,-0.047627,0.204701,0.58805,1.037598,2.502441,1.77002
4,-0.021259,0.222035,0.567543,5.004883,1.281738,-1.098633
5,-0.056416,0.187123,0.574379,-0.610352,2.441406,1.953125
6,-0.003681,0.192983,0.607826,1.098633,1.342773,-0.061035
7,-0.048115,0.215199,0.589515,1.281738,0.610352,-1.220703
8,-0.021259,0.201772,0.582191,2.01416,-0.793457,0.183105
9,-0.015888,0.196401,0.586097,1.098633,-1.220703,0.061035
10,-0.026386,0.211293,0.592689,1.586914,-0.305176,-1.708984
11,-0.036884,0.205678,0.60392,2.075195,0.793457,0.0
12,-0.03249,0.202016,0.583412,2.380371,0.732422,0.671387
13,-0.027119,0.198842,0.58683,3.234863,0.305176,0.427246
14,-0.033222,0.207631,0.58805,1.89209,1.403809,-0.183105
15,-0.040791,0.198598,0.575355,4.272461,-1.037598,0.427246
16,-0.044941,0.192738,0.564125,1.525879,0.549316,3.295898
17,-0.038593,0.187367,0.601234,2.075195,2.929688,0.0
18,-0.055195,0.206654,0.577064,-1.037598,1.77002,0.854492
19,-0.002216,0.211049,0.571449,2.502441,2.868652,1.525879
20,-0.055195,0.202016,0.59806,1.342773,4.272461,-1.403809
21,-0.010517,0.200551,0.607582,3.601074,1.464844,-0.976562
22,-0.057392,0.20519,0.604896,3.051758,4.699707,-3.417969
23,-0.035664,0.215688,0.593177,3.051758,1.037598,-0.732422
24,-0.039082,0.212026,0.569007,4.272461,1.403809,-0.244141
25,-0.028828,0.193471,0.573646,2.258301,-2.563477,1.708984
26,-0.052509,0.215688,0.599281,4.02832,2.13623,-0.976562
27,-0.032002,0.194447,0.587318,2.746582,-0.610352,1.281738
28,-0.035664,0.207143,0.58683,1.77002,2.13623,-0.854492
29,-0.047382,0.199819,0.57975,2.01416,-1.525879,3.295898
30,-0.050556,0.206654,0.564613,2.319336,3.723145,-0.793457
31,-0.02541,0.211781,0.590492,3.173828,-2.624512,1.953125
32,-0.038593,0.215199,0.581459,1.098633,0.915527,0.976562
33,-0.001484,0.196889,0.593177,3.662109,1.098633,-1.220703
34,-0.045429,0.213735,0.591713,0.244141,-1.403809,-0.549316
35,-0.020283,0.183705,0.589515,5.79834,-3.112793,-0.244141
36,-0.045673,0.209096,0.577064,1.89209,-0.610352,-0.732422
37,-0.031269,0.211049,0.608802,1.159668,2.01416,0.0
38,-0.049336,0.184194,0.609047,1.831055,0.549316,-1.403809
39,-0.049824,0.227651,0.590736,2.197266,-1.342773,2.929688
40,-0.015644,0.210317,0.57267,3.051758,2.441406,2.258301
41,-0.026386,0.183949,0.607826,2.197266,-0.854492,1.525879
42,-0.052265,0.207387,0.604896,3.112793,0.732422,-2.01416
43,-0.035664,0.201283,0.561683,2.380371,1.525879,1.098633
44,-0.040058,0.212026,0.585365,0.671387,2.929688,-0.976562
45,-0.052998,0.199819,0.563392,1.586914,1.037598,-1.525879
46,-0.021015,0.208119,0.602211,-0.488281,0.793457,1.77002
47,-0.025654,0.201283,0.569252,4.272461,1.220703,-0.488281
48,-0.045918,0.211049,0.59098,0.915527,0.671387,0.427246
49,-0.035908,0.221303,0.571205,4.455566,4.699707,-0.366211
50,-0.063007,0.205922,0.57267,0.549316,4.272461,1.708984
51,-0.036884,0.210805,0.588539,3.173828,4.211426,-1.647949
52,-0.038593,0.181996,0.602455,1.708984,1.708984,2.563477
53,-0.017109,0.197377,0.58683,3.295898,1.159668,0.427246
54,-0.0425,0.204457,0.570961,1.647949,2.319336,-0.549316
55,-0.015644,0.204457,0.580482,2.13623,1.403809,-1.708984
56,-0.045185,0.192006,0.572425,1.342773,3.967285,-2.380371
57,-0.045185,0.219594,0.594642,1.831055,1.831055,0.366211
58,-0.010761,0.201772,0.609535,1.464844,2.319336,-1.159668
59,-0.058613,0.218129,0.563636,1.647949,3.173828,-0.12207
60,-0.014423,0.168324,0.584388,1.953125,1.647949,0.12207
61,-0.031269,0.210072,0.582191,1.403809,0.305176,-1.159668
62,-0.045673,0.227895,0.58097,2.563477,0.610352,-1.464844
63,-0.033466,0.213246,0.587318,0.854492,0.976562,1.831055
64,-0.028339,0.202992,0.600013,3.540039,-0.793457,1.831055
65,-0.045185,0.209096,0.59098,1.159668,-1.281738,0.671387
66,-0.020527,0.203725,0.613197,2.990723,0.793457,0.427246
67,-0.052754,0.210317,0.587318,2.075195,-2.01416,0.427246
68,-0.039814,0.180287,0.568275,3.051758,-0.976562,0.366211
69,-0.051289,0.222524,0.565834,2.197266,-0.732422,-0.427246
70,-0.018086,0.19225,0.60099,2.868652,-0.061035,-1.831055
71,-0.038837,0.224233,0.581703,2.13623,2.502441,-2.685547
72,-0.033466,0.213979,0.601966,2.929688,-1.708984,-0.183105
73,-0.071064,0.209584,0.553871,2.563477,3.356934,-2.807617
74,-0.023457,0.186391,0.588539,1.342773,-2.807617,0.976562
75,-0.0508,0.204213,0.581703,1.159668,-1.464844,1.159668
76,-0.049091,0.202748,0.600746,2.807617,2.13623,-0.366211
77,-0.04665,0.225209,0.565101,2.624512,-3.662109,1.953125
78,-0.035908,0.190053,0.598793,1.342773,1.098633,1.525879
79,-0.034931,0.211293,0.585365,2.197266,0.732422,0.244141
80,-0.02956,0.197865,0.601966,1.159668,-1.525879,0.305176
81,-0.047871,0.218862,0.582435,1.831055,1.831055,0.366211
82,-0.030293,0.185903,0.606605,2.319336,-2.075195,0.793457
83,-0.047138,0.207143,0.555336,1.831055,1.342773,-0.610352
84,-0.043964,0.215199,0.581214,1.89209,1.159668,-0.549316
85,-0.064716,0.203969,0.579017,0.671387,1.220703,0.305176
86,-0.023212,0.211537,0.585853,4.089355,1.281738,1.708984
87,-0.030048,0.213246,0.601966,0.183105,4.211426,1.89209
88,-0.014179,0.205922,0.580482,4.150391,2.563477,-0.305176
89,-0.03249,0.201528,0.580482,2.258301,1.281738,-0.915527
90,-0.035664,0.191029,0.603431,3.112793,1.098633,-1.77002
91,-0.052021,0.185658,0.573158,2.197266,-1.403809,0.671387
92,-0.039082,0.197377,0.579994,1.586914,1.403809,0.244141
93,-0.045185,0.20519,0.597328,1.403809,0.610352,-0.183105
94,-0.037617,0.21642,0.60514,2.563477,-1.098633,-1.831055
95,-0.063007,0.215932,0.584877,2.868652,1.159668,2.197266
96,-0.010029,0.201528,0.609535,2.807617,-0.488281,-0.793457
97,-0.04665,0.214223,0.594398,0.976562,0.488281,0.0
98,-0.032734,0.194447,0.591957,2.746582,0.549316,-1.220703
99,-0.026875,0.188588,0.603431,3.234863,2.075195,-0.854492
100,-0.052754,0.213735,0.578773,3.112793,0.976562,-0.183105
101,-0.010273,0.204213,0.587806,0.671387,2.380371,1.77002
102,-0.013447,0.213979,0.537513,4.394531,1.220703,-1.403809
103,-0.052509,0.205434,0.620765,1.525879,1.525879,-0.061035
104,-0.059101,0.21642,0.631263,1.037598,-0.549316,0.427246
105,-0.028339,0.214467,0.610267,1.647949,2.746582,-1.464844
106,-0.046894,0.206654,0.647865,1.342773,0.610352,1.708984
107,-0.031269,0.209584,0.587318,1.77002,0.854492,0.12207
108,-0.011494,0.199086,0.589515,1.77002,0.183105,-0.549316
109,-0.032734,0.205678,0.587074,3.173828,-0.732422,0.793457
110,-0.041279,0.209096,0.573402,2.990723,-1.525879,-0.12207
111,-0.071552,0.211293,0.608558,2.502441,1.77002,-0.427246
112,-0.059834,0.21349,0.664466,1.831055,-0.244141,-0.061035
113,-0.052265,0.205678,0.584144,2.075195,3.112793,-0.976562
114,-0.045185,0.191518,0.582435,1.403809,1.647949,1.647949
115,-0.007099,0.179067,0.561683,0.549316,2.502441,-0.976562
116,0.001202,0.215199,0.563392,1.281738,0.12207,1.220703
117,-0.062519,0.217153,0.617836,2.197266,1.220703,-0.610352
118,-0.046894,0.199086,0.62516,1.159668,2.13623,0.610352
119,-0.039814,0.230336,0.605873,2.746582,0.305176,-0.305176
120,-0.045429,0.196645,0.636146,1.403809,-1.464844,0.183105
121,-0.038349,0.207387,0.582435,2.563477,-0.061035,0.915527
122,-0.009296,0.192006,0.534584,2.746582,-0.366211,-1.403809
123,-0.041035,0.195912,0.565834,3.90625,0.183105,0.0
124,-0.062275,0.205922,0.581214,0.793457,0.183105,1.342773
125,-0.058125,0.210072,0.63224,2.319336,0.488281,0.549316
126,-0.048115,0.202504,0.635414,1.342773,0.732422,0.366211
127,-0.052021,0.220326,0.570228,2.441406,1.281738,-0.12207
128,-0.067646,0.212514,0.564125,0.305176,2.380371,1.281738
129,-0.016865,0.215444,0.583656,2.746582,1.953125,-0.061035
130,-0.051533,0.194203,0.588539,2.197266,0.427246,0.610352
131,-0.030537,0.179555,0.608558,3.540039,1.77002,-0.793457
132,-0.065937,0.222279,0.56974,2.01416,2.075195,1.586914
133,-0.026875,0.208608,0.581214,2.868652,-1.525879,0.488281
134,-0.074726,0.217153,0.583412,1.342773,1.403809,1.342773
135,-0.032734,0.19933,0.581947,2.746582,-0.854492,0.732422
136,-0.051289,0.197621,0.60392,1.831055,-0.427246,0.12207
137,-0.057636,0.214223,0.569496,3.051758,0.12207,-0.793457
138,-0.053242,0.196889,0.591468,1.098633,2.197266,0.244141
139,-0.028339,0.209096,0.578529,3.051758,1.403809,-0.671387
140,-0.022968,0.197865,0.590248,2.563477,3.662109,-0.244141
141,-0.064961,0.209584,0.601722,4.02832,2.685547,-2.746582
142,-0.055195,0.214955,0.567543,-0.305176,-0.488281,1.037598
143,-0.039814,0.211293,0.599525,2.319336,3.723145,-1.220703
144,-0.06789,0.205678,0.602699,2.380371,0.854492,-1.281738
145,-0.049091,0.204701,0.611244,1.708984,0.976562,-0.305176
146,-0.028828,0.212514,0.583168,2.685547,3.845215,-1.77002
147,-0.068867,0.220082,0.618812,1.647949,1.342773,0.610352
148,-0.028828,0.202992,0.599525,3.967285,0.061035,-1.89209
149,-0.049336,0.188588,0.598548,1.89209,1.953125,1.647949
150,-0.021748,0.218862,0.603187,4.699707,0.0,-1.708984
151,-0.043232,0.211293,0.60099,2.197266,0.915527,-0.732422
152,-0.034931,0.203725,0.597816,3.234863,-1.464844,-1.708984
153,-0.07375,0.208119,0.575843,0.610352,1.098633,-0.671387
154,-0.041279,0.213735,0.60099,3.051758,-0.549316,-0.854492
155,-0.055683,0.208363,0.589271,1.159668,-0.976562,-0.549316
156,-0.063496,0.215199,0.577308,2.380371,0.305176,2.868652
157,-0.055439,0.191029,0.616859,-0.610352,-2.13623,3.417969
158,-0.020771,0.213979,0.586341,2.868652,0.732422,0.0
159,-0.05373,0.2235,0.591713,2.258301,-0.183105,-1.647949
160,-0.01955,0.203969,0.616127,6.103516,15.869141,-2.990723
161,-0.030048,0.190785,0.611,4.516602,3.417969,-0.610352
162,-0.040546,0.226918,0.592689,1.77002,4.516602,-1.159668
163,-0.041279,0.215199,0.610756,2.441406,0.244141,-1.403809
164,-0.058613,0.196401,0.599281,2.502441,2.380371,0.610352
165,-0.052265,0.212026,0.579261,0.915527,1.281738,2.746582
166,-0.022968,0.215444,0.590492,2.685547,2.502441,0.0
167,-0.060078,0.211537,0.592689,0.854492,1.89209,0.732422
168,-0.04372,0.215199,0.599037,2.746582,1.342773,-0.366211
169,-0.070087,0.197865,0.588295,1.77002,0.610352,3.051758
