,ax,ay,az,gx,gy,gz
0,-0.213687,0.133533,0.449475,0.183105,-2.13623,-0.610352
1,-0.193179,0.126453,0.428967,-0.061035,-3.295898,-0.732422
2,-0.22272,0.116444,0.473401,0.671387,0.061035,-3.356934
3,-0.213198,0.134754,0.382336,1.220703,-3.967285,-1.831055
4,-0.215152,0.132069,0.399182,0.732422,-3.051758,-1.098633
5,-0.208071,0.12743,0.50343,0.305176,-3.051758,-2.319336
6,-0.200015,0.132801,0.399182,-1.220703,-2.502441,-2.990723
7,-0.21857,0.141346,0.48927,-0.305176,-1.220703,-2.441406
8,-0.203189,0.132801,0.42091,0.610352,-4.516602,-1.647949
9,-0.236148,0.131824,0.520276,-0.671387,-0.366211,-1.831055
10,-0.230288,0.138904,0.427014,-0.976562,-1.464844,0.061035
11,-0.210513,0.130604,0.459973,-0.427246,0.0,-1.342773
12,-0.218814,0.123768,0.437268,0.183105,-2.01416,-1.647949
13,-0.199771,0.120594,0.480969,0.305176,-2.624512,-1.281738
14,-0.205142,0.104969,0.451672,-0.732422,-3.662109,-1.342773
15,-0.208804,0.122059,0.433362,-1.586914,-1.89209,-0.976562
16,-0.209048,0.129383,0.416028,0.244141,-1.220703,-3.723145
17,-0.241519,0.110584,0.448254,0.12207,-3.051758,-1.098633
18,-0.199282,0.123035,0.446545,-0.488281,-1.525879,-1.89209
19,-0.220279,0.11327,0.40968,-1.159668,-3.845215,-1.159668
20,-0.218081,0.149891,0.473645,-1.464844,-2.258301,0.732422
21,-0.19855,0.112293,0.467297,0.061035,-2.990723,0.061035
22,-0.228335,0.136463,0.452405,2.807617,-2.502441,-2.441406
23,-0.211001,0.11742,0.469739,-0.427246,-0.854492,-0.12207
24,-0.207095,0.133289,0.423108,-0.427246,-1.342773,-2.258301
25,-0.201236,0.133289,0.41383,-1.525879,-2.01416,-1.525879
26,-0.199771,0.13158,0.448987,1.77002,-1.525879,-2.258301
27,-0.208316,0.117176,0.469006,-2.13623,-1.098633,-0.183105
28,-0.201724,0.13158,0.417981,-0.12207,-1.586914,-1.281738
29,-0.21979,0.128895,0.375989,-1.77002,-0.915527,-1.647949
30,-0.21857,0.132801,0.481701,-0.061035,-0.976562,-1.464844
31,-0.224185,0.118885,0.442639,0.610352,-3.78418,-0.854492
32,-0.202212,0.118641,0.489026,-0.12207,0.915527,-2.13623
33,-0.197573,0.132313,0.420666,0.854492,-3.78418,-2.075195
34,-0.211001,0.134754,0.440198,0.976562,-2.502441,-0.244141
35,-0.21271,0.117664,0.440686,1.098633,-0.976562,-2.258301
36,-0.219058,0.128651,0.434582,1.098633,-2.01416,-0.915527
37,-0.196841,0.121326,0.491223,-1.403809,-3.051758,-1.098633
38,-0.21564,0.115467,0.457287,0.305176,-1.220703,-3.173828
39,-0.209048,0.132313,0.434338,-0.183105,-1.586914,-1.525879
40,-0.197573,0.112049,0.485852,0.366211,-2.441406,-1.342773
41,-0.212222,0.145008,0.417492,0.671387,-2.563477,-2.868652
42,-0.189517,0.140125,0.484875,1.953125,-3.234863,-2.380371
43,-0.192691,0.141834,0.437756,-0.366211,-2.502441,-3.540039
44,-0.223941,0.118885,0.492688,0.732422,-2.13623,-1.708984
45,-0.205874,0.127918,0.417737,2.685547,-4.333496,-2.807617
46,-0.219058,0.149891,0.428235,-1.281738,-1.281738,2.502441
47,-0.180972,0.118641,0.463879,-0.366211,-0.488281,-0.732422
48,-0.214419,0.12743,0.450207,2.868652,-4.699707,-1.708984
49,-0.186343,0.126942,0.474866,0.671387,-0.366211,-4.02832
50,-0.193423,0.129139,0.460217,2.746582,2.746582,-6.652832
51,-0.205386,0.129139,0.437756,0.610352,-0.854492,-3.845215
52,-0.20148,0.129627,0.432385,-1.403809,-5.126953,-2.990723
53,-0.199282,0.123768,0.493908,-2.197266,-3.295898,-0.854492
54,-0.187075,0.123768,0.441662,-0.732422,-3.662109,-2.197266
55,-0.221987,0.141346,0.407483,-2.075195,-2.197266,-2.502441
