,ax,ay,az,gx,gy,gz
0,0.135723,1.13268,0.991127,0.976562,-1.220703,-0.854492
1,0.121563,1.119008,1.002601,3.112793,0.305176,-1.647949
2,0.138897,1.102895,0.969642,3.540039,-2.319336,-1.220703
3,0.137676,1.135365,0.954261,2.868652,-0.244141,-0.061035
4,0.111553,1.12267,0.987709,-0.183105,1.098633,-1.708984
5,0.100811,1.128529,1.006752,2.990723,0.854492,0.366211
6,0.130596,1.134145,0.962806,3.417969,0.732422,0.793457
7,0.131329,1.112904,0.977211,2.685547,-0.915527,-1.281738
8,0.13377,1.120961,0.969886,1.464844,1.037598,-1.464844
9,0.121563,1.112904,0.972816,2.624512,-2.563477,0.0
10,0.114239,1.118031,0.982338,1.281738,4.272461,-0.12207
11,0.140362,1.118764,0.979896,0.488281,-0.915527,-1.464844
12,0.136455,1.11974,0.987709,1.831055,4.211426,-1.098633
13,0.10545,1.144399,0.959144,4.150391,0.488281,1.220703
14,0.127178,1.124135,0.964271,-0.427246,3.601074,-0.854492
15,0.11961,1.100453,0.999427,0.793457,0.549316,0.976562
16,0.13084,1.127065,0.982338,1.098633,2.075195,-1.403809
17,0.136211,1.126332,0.987464,1.831055,-1.464844,-0.061035
18,0.131084,1.12975,0.982093,-0.305176,1.464844,-1.831055
19,0.095684,1.108266,1.003578,1.403809,1.464844,1.098633
20,0.114971,1.1256,0.991371,2.990723,1.037598,0.610352
21,0.118389,1.130483,0.982582,2.624512,1.342773,0.0
22,0.114727,1.121205,1.001869,2.380371,-0.793457,-0.244141
23,0.119854,1.136098,0.993324,3.295898,1.89209,2.502441
24,0.122051,1.1256,0.972328,2.563477,1.281738,1.525879
25,0.117413,1.129506,0.947914,1.403809,1.281738,2.807617
26,0.120342,1.123647,0.990394,0.427246,2.929688,1.403809
27,0.128155,1.126088,0.976966,2.075195,0.671387,1.037598
28,0.105205,1.121693,0.985511,0.976562,2.319336,0.0
29,0.126446,1.129994,0.976722,1.159668,-0.12207,1.953125
